# MaleCNS v1.0 soma positions, every 7th of 141781 by bodyId order (deterministic, FR-PRP-09)
bodyId,x,y,z
17785,74594,37339,22193
17792,38615,60122,85583
17799,23985,36893,21873
17806,21096,19230,25166
17813,26869,21771,19355
17821,37814,18885,36129
17830,66560,38542,24938
17838,92406,34218,35145
17846,38797,9966,30961
17855,24219,17081,34533
17862,72879,18642,19823
17870,26856,46640,37833
17878,36631,39590,32206
17887,50349,63660,77615
17895,78140,46084,26927
17902,57024,33720,14882
17909,48955,12848,28155
17918,72994,12136,27147
17929,39314,43126,17646
17936,77124,15208,25692
17943,81272,38156,24972
17951,26513,46432,38106
17961,35072,21132,37986
17970,77812,34008,21209
17978,29463,35526,41807
17988,43345,8031,18022
17996,29382,19038,36282
18004,73577,45454,25780
18011,28136,35959,23636
18018,82868,39736,26648
18026,37724,18318,13277
18034,63124,20866,34920
18043,22386,20864,26760
18050,57100,46588,122278
18061,86059,17336,25572
18069,48715,42477,39834
18077,28299,41929,28660
18084,42289,23055,12929
18093,68222,33873,23981
18102,72728,17334,25400
18110,60872,39428,28276
18117,78827,39582,21964
18125,41788,40054,14807
18134,57759,46568,120785
18141,66234,35012,21166
18152,53775,9375,31637
18159,49791,48744,28050
18168,30032,34862,25069
18178,63891,15495,34398
18186,63162,16752,34430
18195,32712,18440,36372
18202,91724,36064,34311
18212,69482,39266,26216
18220,74398,24452,23242
18227,35032,18372,35152
18235,23338,22968,24432
18244,22806,24628,25248
18252,81288,35958,39875
18260,28142,15456,21448
18267,67522,35474,24672
18277,49662,27258,35942
18284,3887,27265,29444
18292,66450,37610,23560
18300,20644,16644,33386
18310,83712,29142,40534
18318,10301,39507,30217
18326,30765,9918,31500
18334,61462,37690,21082
18341,25926,21554,21244
18350,34867,23519,17911
18357,86299,47861,34147
18365,67122,22800,35032
18373,54850,45932,105385
18384,26057,19877,32794
18394,63692,31958,35447
18405,78544,29056,42256
18412,17899,42610,24693
18419,54426,10242,33553
18426,24880,15719,23864
18433,54724,33244,14618
18443,40232,41894,17723
18450,51632,45480,33696
18457,29414,13672,20882
18466,56199,33467,13100
18474,59961,39711,22982
18482,49903,9505,28185
18493,33315,26234,15279
18502,79438,22937,24047
18509,4334,24364,31750
18518,72402,23548,27444
18530,22602,37400,22500
18539,69892,45912,33360
18546,54554,33208,13014
18555,24092,28743,20295
18565,66876,31394,40718
18574,65078,20918,15556
18583,58605,22616,37846
18590,43767,44849,18364
18598,72311,33294,42027
18607,41118,19412,39178
18616,39005,44182,21178
18624,39700,41828,17303
18631,23811,18412,32856
18638,41674,8754,18125
18646,31398,19404,17322
18653,5204,23706,30548
18660,67627,33818,24480
18667,93208,35836,32499
18674,24994,19590,24508
18682,7082,23332,26630
18690,67726,36520,23700
18699,27086,20672,18748
18706,71742,9096,29338
18716,33681,39363,26063
18724,70337,14423,24026
18731,36803,21284,38010
18739,72997,18440,22068
18746,25204,19420,32129
18754,68496,13016,32778
18763,16069,39524,25206
18771,22458,22886,27706
18778,45393,8307,25862
18786,89835,39285,33785
18793,42509,12100,34083
18801,79230,37472,41714
18808,72870,30380,20688
18816,75921,16833,22596
18824,38624,10806,31332
18833,19152,38668,23464
18841,73024,20312,25230
18849,34812,16626,15178
18857,74222,13352,29350
18866,34834,22796,37350
18873,73608,21172,27870
18882,28396,34674,24398
18890,31750,36849,25835
18897,73352,10830,28594
18905,34444,21302,36702
18913,53794,16675,34007
18920,53576,28588,38374
18929,27515,21876,32785
18937,30098,23919,36064
18944,17396,36350,23670
18952,64573,34052,19773
18959,33259,31302,15880
18969,25883,21240,20953
18977,33072,22119,17477
18986,67841,21219,33708
18994,37988,23500,12946
19003,29626,44462,32644
